severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type,urban_or_rural_area,police_force,longitude,latitude,first_road_class,hour_factor,speed_limit_factor,rural_factor
0,4,1,1,Weekend,30,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Northamptonshire,-0.69858,52.3861,A,4,30,Rural
0,9,0,1,Weekday,50,Daylight,Fine no high winds,Frost or ice,Single carriageway,Rural,Cumbria,-3.51665,54.61674,Unclassified,9,50,Rural
0,17,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-2.98605,54.95515,Unclassified,17,60,Rural
1,11,0,1,Weekday,70,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Cumbria,-2.87219,54.2259,A,11,70,Rural
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cumbria,-2.7487,54.33781,Unclassified,8,30,Urban
0,7,0,1,Weekday,70,Darkness - no lighting,Raining no high winds,Wet or damp,Slip road,Rural,Cumbria,-2.71402,54.23822,Motorway,7,70,Rural
0,10,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Greater Manchester,-2.11598,53.53796,A,10,30,Urban
0,17,0,1,Weekday,40,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Greater Manchester,-2.23517,53.56614,Motorway,17,40,Rural
0,11,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.25398,53.48239,A,11,30,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.26487,53.51569,Unclassified,8,30,Urban
1,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.06307,53.44115,A,15,30,Urban
0,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.6589,53.52154,Unclassified,15,20,Urban
0,20,0,0,Weekday,50,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Greater Manchester,-2.56744,53.46771,A,20,50,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.60529,53.54349,A,8,30,Urban
0,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.78456,53.42099,Unclassified,13,20,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.77128,53.46465,Unclassified,11,30,Urban
0,11,0,0,Weekday,20,Daylight,Raining no high winds,Wet or damp,One way street,Urban,Merseyside,-2.96644,53.66217,A,11,20,Urban
0,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Roundabout,Urban,Merseyside,-2.98825,53.47512,Unclassified,19,20,Urban
1,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.30208,53.53435,Unclassified,16,30,Urban
1,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.45443,53.50245,B,15,30,Urban
1,7,0,1,Weekday,40,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,South Yorkshire,-1.57582,53.56388,A,7,40,Rural
0,0,1,0,Weekend,30,Darkness - lighting unknown,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.36872,53.45536,B,0,30,Urban
0,15,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.43446,55.02313,A,15,30,Urban
0,1,1,0,Weekday,20,Darkness - lights lit,Other,Dry,Roundabout,Urban,Northumbria,-1.42991,55.02653,Unclassified,1,20,Urban
1,22,0,1,Weekday,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway,Rural,Northumbria,-1.54411,55.04019,A,22,70,Rural
1,1,1,1,Weekend,70,Darkness - no lighting,Fine + high winds,Wet or damp,Dual carriageway,Rural,Northumbria,-1.50135,54.94424,A,1,70,Rural
1,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.419,54.9724,C,17,30,Urban
0,19,0,0,Weekday,70,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Northumbria,-1.53977,54.9019,A,19,70,Urban
0,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Urban,Northumbria,-1.4418,54.89672,Unclassified,17,30,Urban
0,13,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,West Midlands,-2.07049,52.51322,A,13,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-1.73063,52.38761,Unclassified,15,30,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,West Midlands,-1.99894,52.57025,A,8,30,Urban
0,15,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-2.11335,52.58475,A,15,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.10478,51.55004,A,15,30,Urban
0,19,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Slip road,Urban,Metropolitan Police,0.14075,51.581,A,19,30,Urban
0,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.15746,51.54594,Unclassified,16,30,Urban
1,12,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.12075,51.55111,A,12,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.13515,51.54781,C,15,30,Urban
1,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.13614,51.45483,Unclassified,19,20,Urban
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.33203,51.59138,Unclassified,16,30,Urban
0,8,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.37145,51.57256,A,8,20,Urban
1,21,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.35191,51.56551,A,21,30,Urban
1,14,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.25304,51.38859,A,14,20,Urban
0,17,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Metropolitan Police,-0.22226,51.40725,A,17,30,Urban
0,18,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Metropolitan Police,-0.35599,51.44743,A,18,40,Urban
0,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.00225,51.57402,Unclassified,19,20,Urban
0,14,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-3.83916,55.99974,Unclassified,14,20,Rural
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-3.91079,56.01219,A,14,30,Urban
1,9,0,1,Weekend,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,Police Scotland,-4.79828,57.18144,A,9,60,Rural
1,19,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Wet or damp,Single carriageway,Rural,Police Scotland,-4.17247,57.46482,B,19,60,Rural
1,9,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-4.00883,57.77949,B,9,60,Rural
0,14,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-6.17388,57.29028,A,14,60,Rural
0,12,0,0,Weekday,30,Daylight,Fine no high winds,Dry,One way street,Urban,Police Scotland,-3.31636,57.64763,Unclassified,12,30,Urban
1,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Police Scotland,-4.63002,55.46686,A,9,30,Urban
0,18,0,1,Weekend,60,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway,Rural,Police Scotland,-2.12662,57.36784,Unclassified,18,60,Rural
1,21,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-2.15389,57.22192,B,21,60,Rural
0,22,0,0,Weekend,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway,Urban,Police Scotland,-3.2765,55.90663,A,22,70,Urban
0,5,0,0,Weekday,60,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Police Scotland,-4.42517,55.86265,Motorway,5,60,Urban
1,11,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-2.87313,56.46688,Unclassified,11,20,Urban
0,2,1,1,Weekend,30,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway,Rural,Police Scotland,-2.8861,56.49069,B,2,30,Rural
1,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-2.80387,56.33127,Unclassified,15,20,Urban
1,17,0,1,Weekday,60,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,Police Scotland,-3.34851,56.28788,Unclassified,17,60,Rural
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-3.80372,55.82252,Unclassified,15,30,Urban
0,17,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,North Wales,-3.79079,53.28215,A,17,60,Rural
1,17,0,1,Weekday,40,Daylight,Raining + high winds,Wet or damp,Single carriageway,Rural,Dyfed-Powys,-3.90528,52.41273,A,17,40,Rural
1,17,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,Dyfed-Powys,-4.15422,52.1534,B,17,60,Rural
0,11,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-4.59508,51.96492,Unclassified,11,60,Rural
1,18,0,1,Weekday,50,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,Dyfed-Powys,-4.21822,51.74896,B,18,50,Rural
0,8,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,South Wales,-3.43578,51.61613,A,8,30,Urban
0,18,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Gwent,-3.25659,51.70224,Unclassified,18,60,Rural
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Gwent,-2.98446,51.57911,A,16,30,Urban
1,11,0,1,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-3.41775,52.14919,A,11,30,Rural
0,18,0,1,Weekday,20,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-3.39332,51.94786,Unclassified,18,20,Rural
0,19,0,1,Weekday,70,Darkness - no lighting,Raining no high winds,Wet or damp,Dual carriageway,Rural,South Wales,-3.33925,51.67936,A,19,70,Rural
0,11,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cleveland,-0.95625,54.536,Unclassified,11,30,Rural
0,17,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cleveland,-1.35929,54.58204,Unclassified,17,20,Urban
0,14,0,0,Weekend,40,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cheshire,-2.73505,53.35929,A,14,40,Urban
0,15,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cheshire,-2.7794,53.36543,Unclassified,15,30,Urban
0,16,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Lancashire,-2.44338,53.74494,Unclassified,16,30,Urban
1,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Humberside,-0.04183,53.56606,A,17,30,Urban
1,5,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Urban,Humberside,-0.64035,53.58604,Unclassified,5,30,Urban
1,2,1,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,North Yorkshire,-1.10174,53.94644,A,2,30,Urban
1,20,0,0,Weekday,40,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Derbyshire,-1.48098,52.89854,A,20,40,Urban
0,9,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,West Mercia,-2.719,52.19941,A,9,60,Rural
0,16,0,1,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,West Mercia,-3.04462,52.19878,Unclassified,16,30,Rural
0,15,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Avon and Somerset,-2.8258,51.33323,A,15,30,Rural
0,18,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Avon and Somerset,-2.76537,51.48646,Unclassified,18,20,Urban
0,19,0,1,Weekday,50,Darkness - no lighting,Fog or mist,Wet or damp,Single carriageway,Rural,Avon and Somerset,-2.69144,51.39525,A,19,50,Rural
1,14,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Urban,Bedfordshire,-0.44197,51.90444,Unclassified,14,30,Urban
1,10,0,0,Weekday,20,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Bedfordshire,-0.43203,51.88686,A,10,20,Urban
0,18,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Bedfordshire,-0.43095,51.88738,B,18,20,Urban
0,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Essex,0.67459,51.56654,Unclassified,16,30,Urban
