severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type,urban_or_rural_area,police_force,longitude,latitude,first_road_class,hour_factor,speed_limit_factor,rural_factor
0,10,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,North Yorkshire,-1.09008,53.95915,A,10,30,Urban
0,16,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Single carriageway,Urban,North Yorkshire,-1.13634,53.93312,Unclassified,16,40,Urban
0,13,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Derbyshire,-1.46425,52.93519,A,13,60,Rural
0,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Derbyshire,-1.50523,52.90161,Unclassified,18,30,Urban
0,8,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Derbyshire,-1.43182,52.93185,Unclassified,8,30,Urban
0,14,0,0,Weekend,40,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Derbyshire,-1.4947,52.90306,A,14,40,Urban
1,5,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Leicestershire,-1.13837,52.63795,A,5,30,Urban
0,19,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,Leicestershire,-1.14946,52.6071,A,19,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Leicestershire,-1.18987,52.63382,A,15,30,Urban
0,16,0,1,Weekday,50,Darkness - no lighting,Fine no high winds,Wet or damp,Single carriageway,Rural,West Mercia,-2.37604,52.13291,A,16,50,Rural
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,West Mercia,-2.71946,52.04966,A,9,30,Urban
1,14,0,0,Weekend,30,Daylight,Raining no high winds,Dry,Single carriageway,Urban,Staffordshire,-2.12094,53.00576,Unclassified,14,30,Urban
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Staffordshire,-2.18334,53.03207,A,16,30,Urban
0,22,0,0,Weekend,30,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Urban,Avon and Somerset,-2.36618,51.37128,A,22,30,Urban
0,22,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Urban,Avon and Somerset,-2.49262,51.44017,Unclassified,22,30,Urban
0,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Devon and Cornwall,-4.07089,50.39053,B,17,30,Urban
1,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Devon and Cornwall,-4.18711,50.40177,Unclassified,15,30,Urban
0,20,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,Devon and Cornwall,-4.13344,50.38026,B,20,30,Urban
0,7,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Devon and Cornwall,-3.54918,50.47753,A,7,30,Urban
0,5,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Devon and Cornwall,-3.54981,50.48302,A,5,30,Urban
0,9,0,0,Weekday,30,Darkness - lights lit,Other,Dry,Roundabout,Urban,Wiltshire,-1.77218,51.56297,Unclassified,9,30,Urban
1,21,0,0,Weekend,40,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Urban,Wiltshire,-1.77606,51.56891,A,21,40,Urban
0,16,0,1,Weekend,70,Darkness - no lighting,Raining no high winds,Wet or damp,Dual carriageway,Rural,Wiltshire,-1.74077,51.58471,A,16,70,Rural
1,13,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Bedfordshire,-0.42818,51.8902,Unclassified,13,30,Urban
0,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Essex,0.73466,51.54093,A,17,30,Urban
0,12,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Essex,0.7436,51.5424,A,12,30,Urban
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Essex,0.33256,51.47488,Unclassified,16,30,Urban
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.53955,51.39211,B,9,30,Urban
0,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Urban,Kent,0.52754,51.37827,Unclassified,17,30,Urban
0,9,0,1,Weekend,70,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Thames Valley,-1.44778,51.44705,Motorway,9,70,Rural
0,22,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.06467,50.81439,A,22,30,Urban
1,13,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.44808,50.93098,A,13,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.40006,50.90506,Unclassified,14,30,Urban
0,19,0,1,Weekday,60,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Rural,Durham,-1.67056,54.65015,A,19,60,Rural
0,7,0,1,Weekday,60,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,West Mercia,-2.30718,52.60987,Unclassified,7,60,Rural
1,23,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,West Mercia,-2.37712,52.59705,B,23,60,Rural
0,6,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,West Mercia,-2.52823,52.86727,Unclassified,6,60,Rural
0,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.51099,55.12872,Unclassified,15,20,Urban
0,19,0,1,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,Northamptonshire,-0.6904,52.43709,A,19,30,Rural
0,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Wet or damp,One way street,Urban,Cumbria,-2.94795,54.92293,Unclassified,17,30,Urban
0,12,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-3.13192,54.57573,B,12,60,Rural
0,15,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-3.23367,54.33202,Unclassified,15,60,Rural
0,18,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.1342,53.53137,Unclassified,18,20,Urban
0,18,0,0,Weekday,70,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Greater Manchester,-2.13798,53.51566,Motorway,18,70,Urban
1,7,0,1,Weekday,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway,Rural,Greater Manchester,-2.1549,53.56521,A(M),7,70,Rural
0,3,1,0,Weekday,40,Daylight,Other,Dry,Single carriageway,Urban,Greater Manchester,-2.27575,53.49211,B,3,40,Urban
0,6,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Urban,Greater Manchester,-2.1181,53.4219,A,6,30,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.19184,53.37437,B,11,30,Urban
1,6,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.1252,53.47171,B,6,30,Urban
1,5,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.68219,53.54575,Unclassified,5,30,Urban
1,7,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.58108,53.53386,A,7,30,Urban
0,12,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Merseyside,-2.74183,53.45434,A,12,30,Urban
1,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.02704,53.62194,Unclassified,13,20,Urban
0,12,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.00256,53.47242,Unclassified,12,30,Urban
0,12,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,South Yorkshire,-1.51035,53.47901,Unclassified,12,30,Rural
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.40777,53.56893,Unclassified,9,30,Urban
0,12,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.61242,54.97671,Unclassified,12,20,Urban
0,13,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Northumbria,-1.39835,54.97342,A,13,30,Urban
1,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Roundabout,Urban,Northumbria,-1.43065,54.88901,Unclassified,13,20,Urban
1,8,0,0,Weekday,20,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Northumbria,-1.45467,54.81716,B,8,20,Urban
1,9,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-1.48575,52.45065,B,9,30,Urban
0,11,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Roundabout,Urban,West Midlands,-1.5547,52.39033,Unclassified,11,30,Urban
0,20,0,0,Weekend,20,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-1.4922,52.41541,Unclassified,20,20,Urban
1,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,West Midlands,-2.08615,52.53156,A,15,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-1.84593,52.40728,Unclassified,15,30,Urban
0,12,0,1,Weekday,30,Daylight,Other,Dry,Single carriageway,Rural,West Midlands,-1.65236,52.39807,Unclassified,12,30,Rural
1,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-1.74791,52.49089,Unclassified,14,30,Urban
0,7,0,0,Weekday,30,Daylight,Other,Frost or ice,Single carriageway,Urban,West Midlands,-1.84695,52.40985,Unclassified,7,30,Urban
0,3,1,1,Weekend,40,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Rural,West Midlands,-2.00357,52.56698,A,3,40,Rural
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Midlands,-2.12295,52.58584,Unclassified,15,30,Urban
0,12,0,1,Weekend,50,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Northumbria,-1.59721,54.91667,A,12,50,Rural
0,20,0,1,Weekday,40,Daylight,Fine no high winds,Dry,Slip road,Rural,Northumbria,-1.60809,54.92112,A,20,40,Rural
0,18,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.1072,51.55182,A,18,30,Urban
0,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.08854,51.54053,Unclassified,13,20,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,0.14626,51.45787,C,15,30,Urban
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.34076,51.58211,C,9,30,Urban
0,18,0,0,Weekday,40,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Metropolitan Police,-0.25288,51.3946,A,18,40,Urban
1,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Metropolitan Police,-0.26637,51.40098,A,15,20,Urban
0,16,0,0,Weekday,30,Darkness - lighting unknown,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.26281,51.40388,Unclassified,16,30,Urban
0,1,1,0,Weekday,20,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.21831,51.3817,Unclassified,1,20,Urban
0,16,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.20617,51.41275,A,16,20,Urban
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.21196,51.4099,A,16,30,Urban
0,10,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.27712,51.46759,A,10,20,Urban
0,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.28861,51.46167,A,18,30,Urban
0,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.18087,51.38692,C,17,30,Urban
0,0,1,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Metropolitan Police,-0.18212,51.38027,B,0,30,Urban
0,10,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Slip road,Urban,Metropolitan Police,-0.14948,51.3601,Unclassified,10,20,Urban
1,16,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-4.5066,55.76335,A,16,60,Rural
1,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-3.71803,56.00883,Unclassified,16,30,Urban
0,19,0,1,Weekday,60,Daylight,Raining no high winds,Wet or damp,Roundabout,Rural,Police Scotland,-4.43756,57.57945,A,19,60,Rural
0,9,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Police Scotland,-4.42529,57.60242,A,9,30,Urban
1,18,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-3.86645,57.29347,A,18,60,Rural
0,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Urban,Police Scotland,-4.81005,55.65781,B,17,30,Urban
0,15,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-2.99434,55.62954,A,15,60,Rural
0,15,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-4.5789,55.42825,A,15,60,Rural
0,13,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-3.90808,55.66147,B,13,30,Rural
0,8,0,1,Weekday,70,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Police Scotland,-4.08761,55.66705,B,8,70,Rural
0,15,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-3.94304,56.12829,A,15,30,Urban
0,20,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Police Scotland,-3.14288,55.9118,A,20,30,Urban
0,18,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Police Scotland,-3.23898,55.93633,Unclassified,18,30,Urban
1,15,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Police Scotland,-4.42189,55.84771,Unclassified,15,30,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Police Scotland,-3.51137,55.88856,B,11,30,Urban
0,10,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-2.72819,56.57534,B,10,60,Rural
0,15,0,0,Weekday,70,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Police Scotland,-3.40721,56.0385,Motorway,15,70,Urban
1,12,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Police Scotland,-3.26578,56.62943,Unclassified,12,60,Rural
0,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,North Wales,-3.81833,53.28584,A,13,20,Urban
0,11,0,1,Weekday,30,Darkness - lighting unknown,Raining + high winds,Wet or damp,Single carriageway,Rural,Dyfed-Powys,-3.93303,52.21969,B,11,30,Rural
0,13,0,1,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-4.97004,51.99852,A,13,30,Rural
1,0,1,1,Weekend,40,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway,Rural,Dyfed-Powys,-4.73885,51.78786,A,0,40,Rural
0,12,0,1,Weekend,30,Daylight,Fine no high winds,Dry,Roundabout,Rural,Dyfed-Powys,-4.08292,51.79662,Unclassified,12,30,Rural
0,18,0,0,Weekend,20,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Urban,South Wales,-3.9499,51.61905,Unclassified,18,20,Urban
0,8,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,South Wales,-3.96063,51.61304,B,8,20,Urban
0,18,0,0,Weekend,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,South Wales,-3.9915,51.61948,A,18,30,Urban
1,16,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Roundabout,Rural,South Wales,-3.70398,51.51315,A,16,60,Rural
0,20,0,0,Weekend,20,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Urban,Gwent,-3.22557,51.77912,Unclassified,20,20,Urban
1,15,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-3.20364,52.77418,Unclassified,15,20,Rural
1,16,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-3.59227,52.37636,A,16,60,Rural
0,17,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Dyfed-Powys,-3.37526,52.24997,A,17,20,Rural
1,17,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Cleveland,-1.23354,54.69225,Unclassified,17,30,Urban
0,20,0,0,Weekday,20,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Cleveland,-1.25149,54.56815,Unclassified,20,20,Urban
1,9,0,1,Weekday,70,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Durham,-1.47038,54.54354,A,9,70,Rural
0,14,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cheshire,-2.72917,53.37882,Unclassified,14,30,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Lancashire,-2.48595,53.74675,Unclassified,15,30,Urban
0,7,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Lancashire,-3.0327,53.84337,A,7,30,Urban
0,10,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Lancashire,-3.02746,53.83425,A,10,30,Urban
1,16,0,0,Weekday,30,Darkness - lights lit,Other,Wet or damp,Single carriageway,Urban,Humberside,-0.11137,53.51427,Unclassified,16,30,Urban
0,20,0,0,Weekday,30,Daylight,Other,Dry,Single carriageway,Urban,Humberside,-0.43601,53.68797,Unclassified,20,30,Urban
0,14,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Derbyshire,-1.49635,52.91997,Unclassified,14,30,Urban
0,19,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Derbyshire,-1.47155,52.9041,Unclassified,19,30,Urban
0,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Leicestershire,-1.12381,52.61231,A,16,30,Urban
0,0,1,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Leicestershire,-1.12227,52.63765,A,0,30,Urban
1,15,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Mercia,-2.68449,52.05165,Unclassified,15,30,Urban
1,15,0,1,Weekend,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,West Mercia,-2.82807,52.00935,B,15,60,Rural
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Mercia,-2.74154,52.04071,Unclassified,8,30,Urban
1,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Mercia,-2.74018,52.06167,A,18,30,Urban
0,19,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,West Mercia,-2.5861,51.90791,B,19,30,Urban
0,18,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Frost or ice,Single carriageway,Rural,West Mercia,-2.63061,52.04767,Unclassified,18,60,Rural
1,22,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Staffordshire,-2.16324,53.01942,A,22,30,Urban
0,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Staffordshire,-2.20604,52.98645,Unclassified,18,30,Urban
0,11,0,0,Weekend,20,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Avon and Somerset,-2.44818,51.29347,A,11,20,Urban
0,10,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Avon and Somerset,-2.76338,51.3618,Unclassified,10,20,Rural
1,9,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Devon and Cornwall,-4.18724,50.40237,Unclassified,9,30,Urban
1,18,0,1,Weekday,40,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Devon and Cornwall,-4.17139,50.4018,A,18,40,Rural
0,17,0,0,Weekday,40,Darkness - lights lit,Fine no high winds,Wet or damp,Dual carriageway,Urban,Wiltshire,-1.8442,51.54786,B,17,40,Urban
0,9,0,1,Weekend,40,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cambridgeshire,-0.35892,52.64868,Unclassified,9,40,Rural
1,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Roundabout,Urban,Bedfordshire,-0.39067,51.88774,Unclassified,17,30,Urban
0,2,1,1,Weekday,30,Darkness - lights lit,Fine no high winds,Wet or damp,Single carriageway,Rural,Essex,0.32483,51.47326,Unclassified,2,30,Rural
1,23,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Kent,0.53414,51.3787,A,23,30,Urban
0,14,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-1.0079,51.45984,A,14,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-0.93171,51.44257,A,14,30,Urban
0,19,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-0.6099,51.52267,Unclassified,19,30,Urban
0,21,0,1,Weekday,50,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Thames Valley,-0.61726,51.38576,B,21,50,Rural
0,18,0,1,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,Thames Valley,-0.87004,51.48644,A,18,30,Rural
0,18,0,0,Weekday,60,Darkness - lighting unknown,Raining + high winds,Wet or damp,Single carriageway,Urban,Thames Valley,-0.74589,52.07656,C,18,60,Urban
0,13,0,0,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-0.72832,52.00629,B,13,60,Urban
1,4,1,0,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-0.75511,52.02742,Unclassified,4,60,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.35836,50.91846,Unclassified,15,30,Urban
0,17,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Hampshire,-1.14276,50.65881,B,17,30,Rural
1,16,0,1,Weekend,60,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,Durham,-2.00001,54.60669,B,16,60,Rural
1,10,0,0,Weekday,30,Daylight,Fine no high winds,Dry,One way street,Urban,Durham,-1.67574,54.66148,A,10,30,Urban
1,20,0,1,Weekday,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway,Rural,Northumbria,-1.61785,55.09562,A,20,70,Rural
1,17,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Northumbria,-1.99109,55.1433,A,17,60,Rural
1,17,0,1,Weekday,60,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Northamptonshire,-0.66838,52.35661,A,17,60,Rural
0,21,0,0,Weekday,30,Darkness - lights lit,Other,Frost or ice,Single carriageway,Urban,Northamptonshire,-0.71455,52.38574,A,21,30,Urban
0,18,0,1,Weekday,60,Darkness - no lighting,Other,Wet or damp,Single carriageway,Rural,Northamptonshire,-0.63699,52.30439,Unclassified,18,60,Rural
0,10,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Cumbria,-2.94469,54.90614,Unclassified,10,30,Urban
0,10,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Slip road,Rural,Cumbria,-2.81341,54.2609,A,10,60,Rural
0,11,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-2.75787,54.27541,Unclassified,11,60,Rural
1,16,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cumbria,-3.07204,54.19268,Unclassified,16,30,Urban
0,19,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.4422,53.57214,Unclassified,19,30,Urban
1,14,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.54085,53.59748,Unclassified,14,20,Urban
0,15,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.29622,53.59065,A,15,30,Urban
0,20,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.17385,53.54084,B,20,30,Urban
0,10,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Greater Manchester,-2.20402,53.56843,Unclassified,10,20,Rural
0,11,0,0,Weekend,20,Daylight,Other,Dry,Dual carriageway,Urban,Greater Manchester,-2.08695,53.4139,B,11,20,Urban
0,12,0,0,Weekend,20,Daylight,Other,Dry,Single carriageway,Urban,Greater Manchester,-2.35651,53.44841,Unclassified,12,20,Urban
0,20,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.5427399999999998,53.49613,Unclassified,20,20,Urban
1,23,0,1,Weekend,30,Darkness - no lighting,Fine no high winds,Wet or damp,Single carriageway,Rural,Greater Manchester,-2.53934,53.52655,Unclassified,23,30,Rural
1,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.66932,53.46559,A,17,30,Urban
1,20,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.034,53.39495,A,20,30,Urban
0,9,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.13085,53.40172,Unclassified,9,20,Urban
0,19,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.02837,53.42021,A,19,30,Urban
0,16,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-3.03929,53.4236,Unclassified,16,20,Urban
1,21,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,South Yorkshire,-1.40397,53.59013,Unclassified,21,30,Urban
0,9,0,0,Weekend,40,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Urban,South Yorkshire,-1.30792,53.41952,A,9,40,Urban
0,11,0,0,Weekend,40,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,South Yorkshire,-1.34259,53.45033,A,11,40,Urban
