severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type
0,8,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway
1,21,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway
1,14,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway
0,17,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Dual carriageway
0,18,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Dual carriageway
0,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway
0,14,0,1,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
1,9,0,1,Weekend,60,Daylight,Fine no high winds,Wet or damp,Single carriageway
1,19,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Wet or damp,Single carriageway
1,9,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway
0,14,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway
0,12,0,0,Weekday,30,Daylight,Fine no high winds,Dry,One way street
1,9,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway
0,18,0,1,Weekend,60,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway
1,21,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Dry,Single carriageway
0,22,0,0,Weekend,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway
0,5,0,0,Weekday,60,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway
1,11,0,0,Weekend,20,Daylight,Fine no high winds,Dry,Single carriageway
0,2,1,1,Weekend,30,Darkness - no lighting,Raining no high winds,Wet or damp,Single carriageway
1,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway
1,17,0,1,Weekday,60,Daylight,Raining no high winds,Wet or damp,Single carriageway
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,17,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway
1,17,0,1,Weekday,40,Daylight,Raining + high winds,Wet or damp,Single carriageway
1,17,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway
0,11,0,1,Weekend,60,Daylight,Fine no high winds,Dry,Single carriageway
1,18,0,1,Weekday,50,Daylight,Raining no high winds,Wet or damp,Single carriageway
0,8,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway
0,18,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway
0,16,0,0,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway
1,11,0,1,Weekend,30,Daylight,Fine no high winds,Dry,Single carriageway
0,18,0,1,Weekday,20,Darkness - lights lit,Fine no high winds,Dry,Single carriageway
0,19,0,1,Weekday,70,Darkness - no lighting,Raining no high winds,Wet or damp,Dual carriageway
0,11,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
