term,base_model,controls_model,delta_estimate,pct_change,ovb_conclusion
is_night,0.05803352716192694,0.02830920501064762,-0.02972432215127932,-51.219223791691306,Вплив чинника суттєво зменшився (на 51.2%). Початкова модель мала позитивне зміщення OVB.
rural,0.02933094010550943,0.0239702806576793,-0.005360659447830131,-18.276466518109324,Вплив чинника суттєво зменшився (на 18.3%). Початкова модель мала позитивне зміщення OVB.
speed_limit30,0.02000255106857209,0.01930454520008785,-6.980058684842409e-4,-3.489584233987755,"Коефіцієнт стабільний, додавання контролів майже не змінило оцінку."
speed_limit40,0.04330161909255877,0.05773263265816239,0.014431013565603619,33.326729734416645,Вплив чинника суттєво збільшився (на 33.3%). Початкова модель мала негативне зміщення OVB.
speed_limit50,0.04768466288013055,0.060840639995643944,0.013155977115513397,27.5895357561504,Вплив чинника суттєво збільшився (на 27.6%). Початкова модель мала негативне зміщення OVB.
speed_limit60,0.10912423275426147,0.10603362852857635,-0.00309060422568512,-2.8321887335921976,"Коефіцієнт стабільний, додавання контролів майже не змінило оцінку."
speed_limit70,0.02578809983429447,0.0696364466883595,0.04384834685406503,170.0332600533562,Вплив чинника суттєво збільшився (на 170%). Початкова модель мала негативне зміщення OVB.
