model,term,estimate,std_error_raw,p_value_raw,interpretation_note
base_model,is_night,0.058033527161926945,0.006415027760713174,1.5015804135461503e-19,Зміна умов на нічний час (0-4 години) призводить до зростання ймовірності тяжкого ДТП на 5.8 в.п.
base_model,rural,0.029330940105509438,0.004043163353614474,4.061679323223792e-13,Зміна умов на сільську місцевість призводить до зростання ймовірності тяжкого ДТП на 2.93 в.п.
base_model,speed_limit30,0.020002551068572096,0.0036901830034705087,5.95761102630264e-8,Зміна умов на ліміт швидкості (категорія 30) призводить до зростання ймовірності тяжкого ДТП на 2 в.п.
base_model,speed_limit40,0.04330161909255877,0.005810655978841773,9.259208488879205e-14,Зміна умов на ліміт швидкості (категорія 40) призводить до зростання ймовірності тяжкого ДТП на 4.33 в.п.
base_model,speed_limit50,0.04768466288013055,0.007623498266752295,3.99209406131405e-10,Зміна умов на ліміт швидкості (категорія 50) призводить до зростання ймовірності тяжкого ДТП на 4.77 в.п.
base_model,speed_limit60,0.10912423275426147,0.00616654795548982,5.7292040983578995e-70,Зміна умов на ліміт швидкості (категорія 60) призводить до зростання ймовірності тяжкого ДТП на 10.91 в.п.
base_model,speed_limit70,0.025788099834294472,0.0073869349135674564,4.813460954546681e-4,Зміна умов на ліміт швидкості (категорія 70) призводить до зростання ймовірності тяжкого ДТП на 2.58 в.п.
