term,estimate,std_error_robust,t_value,p_value
(Intercept),0.15807362393894533,0.022608817939708443,6.991680164813774,2.732929086222396e-12
speed_limit_factor30,-0.01422162157632158,0.003991737980662571,-3.5627643009677192,3.6713933665643e-4
speed_limit_factor40,0.020065662321237018,0.006305488117180861,3.1822536096076623,0.0014617810469735489
speed_limit_factor50,0.02978911431285603,0.008139794588509807,3.6596887045413355,2.5265056407378555e-4
speed_limit_factor60,0.06697638427534602,0.0067721136553041735,9.89002661272343,4.711671907204782e-23
speed_limit_factor70,0.055550356671371544,0.010060941102792828,5.5213877214678515,3.3715886235242324e-8
rural_factorRural,0.017858520626957204,0.0042090850550716135,4.242850974332083,2.208947442645537e-5
road_typeOne way street,0.006929473018686485,0.009116713019492706,0.7600845835412806,0.4472058045367756
road_typeRoundabout,-0.04646904153107919,0.006180270382813023,-7.5189334208268495,5.567964504961946e-14
road_typeSingle carriageway,0.04104988478562589,0.004712942702574711,8.710032643341934,3.082670677333885e-18
road_typeSlip road,-0.04324948925053455,0.00992407657733705,-4.3580366307632605,1.3136399131422431e-5
first_road_classA(M),-0.033590236912576954,0.02919764374157541,-1.1504434128274124,0.24996401698422574
first_road_classB,0.010156869385048485,0.004515108951516157,2.2495291905719896,0.024480996101199585
first_road_classC,-0.004443475414099766,0.006545186366539149,-0.6788921147938697,0.49720778068332105
first_road_classMotorway,-0.07442776318354302,0.009906200136784858,-7.513250505324354,5.815053312638533e-14
first_road_classUnclassified,-0.011472833470021484,0.0033616214769178854,-3.4128867716957805,6.430389226177497e-4
light_conditionsDarkness - lights lit,0.05979580994428002,0.010047646616545905,5.951225418876855,2.670175093945347e-9
light_conditionsDarkness - lights unlit,0.11164212409174284,0.01945187160094898,5.739402684844797,9.528237204539955e-9
light_conditionsDarkness - no lighting,0.06268169820685861,0.011742699221589735,5.337929297517399,9.421666180783638e-8
light_conditionsDaylight,0.044292904946944774,0.010056634914806616,4.4043465157247885,1.0621230105954177e-5
weather_conditionsFine no high winds,-0.022337031310269772,0.014499981025414808,-1.5404869338186438,0.12344484382002818
weather_conditionsFog or mist,-0.03080631648267108,0.024880832692969392,-1.238154561096183,0.21566163940340488
weather_conditionsOther,-0.041266000464182356,0.016114729061233825,-2.5607629087263613,0.010445703180872061
weather_conditionsRaining + high winds,-0.019986754486871674,0.019524683468684252,-1.0236659927895138,0.3059955194025045
weather_conditionsRaining no high winds,-0.03477981654163658,0.015003809042324923,-2.318065795393998,0.020447736298743607
weather_conditionsSnowing + high winds,-0.020831063900455624,0.10105325027214236,-0.2061394744291385,0.8366823809860622
weather_conditionsSnowing no high winds,-0.028474281418897976,0.034208086317294994,-0.8323845173561167,0.4051939100656502
road_surface_conditionsFlood over 3cm. deep,-0.0628633775696178,0.031331406144943445,-2.0064014132912855,0.04481610329263087
road_surface_conditionsFrost or ice,-0.0305900368118123,0.013956174039872935,-2.1918640971670493,0.02839159983405853
road_surface_conditionsSnow,-0.06433288744178653,0.03938444022450637,-1.6334594848895774,0.1023755176929087
road_surface_conditionsWet or damp,-0.007564214810419662,0.004085954009092249,-1.8512726265610016,0.06413326443806373
day_typeWeekend,0.02740829929153795,0.00322111038107247,8.508959970012684,1.77858971239762e-17
hour_factor1,-0.018745122247003868,0.0177961957117852,-1.0533218756742633,0.2921960206467316
hour_factor2,-0.007433053784229373,0.01976028400411277,-0.3761612830403808,0.7067977883795518
hour_factor3,-0.011221315321903751,0.021157410947301735,-0.5303728017503407,0.5958546477995057
hour_factor4,-0.0126189973230028,0.021726034830115544,-0.5808237638241736,0.5613605355843221
hour_factor5,-0.022174087969399077,0.018339766778790005,-1.2090714258724093,0.2266382412842637
hour_factor6,-0.01580872598914942,0.015278763673526994,-1.0346862041292435,0.3008179627473554
hour_factor7,-0.050567478424239413,0.013584540512529409,-3.7224283278186396,1.974231474728972e-4
hour_factor8,-0.09818760318392615,0.012929113817282534,-7.59430263910875,3.121049606624194e-14
hour_factor9,-0.0694127155434521,0.013481620811529095,-5.148692172390158,2.62800412027016e-7
hour_factor10,-0.060314357679763675,0.013512264905723598,-4.463674898366993,8.065294210371572e-6
hour_factor11,-0.06069216507008562,0.013303756786013275,-4.562032067054435,5.072048755829892e-6
hour_factor12,-0.060365610275532076,0.013188495820700441,-4.577141403857689,4.719342809849919e-6
hour_factor13,-0.051847069156060036,0.013137170828444891,-3.946593207405024,7.932476674658491e-5
hour_factor14,-0.06171974691315533,0.01303549109380252,-4.734746582926886,2.196264463221193e-6
hour_factor15,-0.06696824239621042,0.01275318206346778,-5.2511006322135705,1.5149874778676074e-7
hour_factor16,-0.06638347572220549,0.01256402576299375,-5.283615058935351,1.269215430795034e-7
hour_factor17,-0.06498590252001682,0.012377008661238158,-5.250533816263471,1.5196557486902938e-7
hour_factor18,-0.06671859522257044,0.012451081004998938,-5.358458048404298,8.411877403443536e-8
hour_factor19,-0.04740573150384285,0.012726756893587004,-3.7248870156175085,1.955091629828451e-4
hour_factor20,-0.03228861607572771,0.01329548018733021,-2.428540798887189,0.015161456033450323
hour_factor21,-0.02671151344921487,0.01359150714616019,-1.965309156811302,0.04938120745636577
hour_factor22,-0.014335643290668268,0.01397766299115616,-1.0256108835746438,0.30507749603941076
hour_factor23,-0.007863433977316207,0.014814527236203329,-0.5307920969695048,0.595564026411738
police_forceBedfordshire,0.0432970344395206,0.013935090653508215,3.1070507911349967,0.001890164031812531
police_forceCambridgeshire,0.07090432502377057,0.013745336529531582,5.158427723572576,2.4950220822885255e-7
police_forceCheshire,0.07712166392420972,0.013366091496368238,5.7699488249923165,7.952677323250014e-9
police_forceCity of London,0.16816054537383282,0.037249194522942376,4.514474675962726,6.354561822966023e-6
police_forceCleveland,0.1245228434036783,0.02157552008935935,5.771487449106298,7.880411299414451e-9
police_forceCumbria,0.11684648925402653,0.01792294173299012,6.519381192817882,7.092969597086286e-11
police_forceDerbyshire,0.12922029345571048,0.013470820987413888,9.592607130363035,8.77479331102776e-22
police_forceDevon and Cornwall,0.022955446168735003,0.010760971822055014,2.133213110147446,0.03290965568974776
police_forceDorset,0.01351741367965687,0.01297289488359961,1.04197357651804,0.2974264283759624
