term,estimate,std.error,statistic,p.value
speed_limit_factor30,0.01644797410299107,0.013224299170466138,1.2437690565655362,0.21358457192587377
speed_limit_factor40,0.0409431571740601,0.02124673657536605,1.9270327482447602,0.0539755488541784
speed_limit_factor50,0.023371654443195573,0.02855909816936216,0.8183610807524864,0.4131510379940523
speed_limit_factor60,0.13635183546503635,0.022289503181973605,6.117311559250429,9.516719253089204e-10
speed_limit_factor70,0.0720989987879248,0.029508525581148866,2.4433277287830437,0.014552515438844484
