Пояснююча змінна,estimate (LPM),std.error (LPM),p.value (LPM),estimate (PLM),std.error (PLM),p.value (PLM)
Швидкість: 30 mph,-0.01422162157632158,0.004212061970200645,7.346779739621848e-4,0.01644797410299107,0.013224299170466138,0.21358457192587377
Швидкість: 40 mph,0.020065662321237018,0.006373248151318373,0.0016420346964136474,0.0409431571740601,0.02124673657536605,0.0539755488541784
Швидкість: 50 mph,0.02978911431285603,0.008109627883083599,2.3955976846458214e-4,0.023371654443195573,0.02855909816936216,0.4131510379940523
Швидкість: 60 mph,0.06697638427534602,0.006645633499569877,7.07607177606591e-24,0.13635183546503635,0.022289503181973605,9.516719253089204e-10
Швидкість: 70 mph,0.055550356671371544,0.010137470303003052,4.270493555932599e-8,0.0720989987879248,0.029508525581148866,0.014552515438844484
